iter	Passed	Remaining
0	2	218
1	3	195
2	5	185
3	7	177
4	9	175
5	11	174
6	12	170
7	14	168
8	16	166
9	18	164
10	20	163
11	21	161
12	23	159
13	25	156
14	27	154
15	28	152
16	30	150
17	32	148
18	34	146
19	36	144
20	37	142
21	39	139
22	40	137
23	42	135
24	44	133
25	46	131
26	47	129
27	49	126
28	51	125
29	52	123
30	54	120
31	55	118
32	58	117
33	59	115
34	61	113
35	62	111
36	64	109
37	66	107
38	67	106
39	69	104
40	71	102
41	71	99
42	73	97
43	74	95
44	76	93
45	78	91
46	79	89
47	81	88
48	83	86
49	84	84
50	86	82
51	88	81
52	89	79
53	91	77
54	92	75
55	93	73
56	95	72
57	97	70
58	99	69
59	101	67
60	102	65
61	104	63
62	106	62
63	107	60
64	109	58
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	120	49
71	122	47
72	123	45
73	125	44
74	128	42
75	130	41
76	132	39
77	134	38
78	136	36
79	138	34
80	139	32
81	141	31
82	143	29
83	145	27
84	146	25
85	148	24
86	150	22
87	152	20
88	153	19
89	155	17
90	157	15
91	158	13
92	160	12
93	162	10
94	163	8
95	165	6
96	166	5
97	168	3
98	170	1
99	171	0
